id,bident1,userdata,language,int1a,int3a,d1,age,age2,recage,recage2,recage3,recage4,recage5,recage6,hispanic,race,racethn,nativity,racethn2,vaxq1,vaxq2,vaxq3,vaxq4,vaxq5,vaxq6,vaxq7,coverage,agecov,covtype,agecovtype,covselfother,covself,covselfot,child,marital,employ,recemploy,selfemploy,rgender,gendervar,lgbt,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,recincome2,ce14,ce17,trp2,cell,hhcell,landline,hhadults,int,loi,devicetype,devicecategory,bssrs_match_code,cstate,cregion,density,complete_date,weight,recincome3,Division,changesex,cdc2013,cdc2013USR,state,USR,USR_NEW
00000016,WEB,SSRS Probability Panel,English, , , ,62, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your spouse's employer,Spouse's employer, , , ,No,Married,Employed full-time,Employed,"No, not self-employed",Woman,Female,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Some postgraduate or professional school, no postgraduate degree",College +,College +,College +,"$100,000 or more",$90K+,$40K+,Less than once a month,Yes,Purple, , , ,2, ,186,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,11017051,New Hampshire,Northeast,2,20211215,.2848,$100K+,New England,sex = rgender,Micropolitan,Rural (CDC=4-6),NEW HAMPSHIRE,Rural,Rural
00000017,WEB,SSRS Probability Panel,English, , , ,80, ,65+,65+,65+,75+,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Divorced,Employed part-time,Employed,"No, not self-employed",Woman,Female,No,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Moderate,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$75,000 to less than $90,000",$40K-$89.9K,$40K+,A few times a month,No,Purple, , , ,1, ,369,iPhone/iPod,Smartphone or equivalent (<7 inch),11961690,California,West,2,20211217,.8954,$50K-$99.9K,Pacific,sex = rgender,Large central metro,Urban (CDC=1),CALIFORNIA,Suburban,Urban
00000018,WEB,SSRS Probability Panel,English, , , ,58, ,18-64,50-64,55-64,40-59,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,Yes,"No, did not receive a booster","No, does not make me more likely",Have recommended this, , ,Not covered by health insurance,Uninsured Less than 65, ,Uninsured <65, , , ,No,Married,Employed full-time,Employed,"Yes, self-employed",Man,Male,No,Independent,Independent/don't lean to either party,Pure Independents,Independent/Don't lean,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$100,000 or more",$90K+,$40K+,A few times a month,Yes,Purple, , , ,4, ,184,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,6061664,Indiana,North Central,2,20211215,.4867,$100K+,East North Central,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",INDIANA,Urban,Urban
00000019,WEB,SSRS Probability Panel,English, , , ,37, ,18-64,30-49,35-44,18-39,30-44,18-49,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Very worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Have recommended this, , ,Covered by health insurance,Insured Less than 65,Medicaid/STATE-SPECIFIC MEDICAID NAME,Medicaid, , , ,Yes,Living with a partner,Employed part-time,Employed,"No, not self-employed",Woman,Female,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB, BSN)",College +,College +,College +,"$50,000 to less than $75,000",$40K-$89.9K,$40K+,Less than once a month,No,Purple, , , ,3, ,165,Android smart phones,Smartphone or equivalent (<7 inch),9013686,Indiana,North Central,2,20211215,.568,$50K-$99.9K,East North Central,sex = rgender,Small metro,Rural (CDC=4-6),INDIANA,Rural,Suburban
00000020,WEB,SSRS Probability Panel,English, , , ,61, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,Yes,"No, did not receive a booster","No, does not make me more likely",Have not recommended this, , ,Covered by health insurance,Insured Less than 65,Medicaid/STATE-SPECIFIC MEDICAID NAME,Medicaid, , , ,No,Married,Employed part-time,Employed,"Yes, self-employed",Woman,Female,No,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Moderate,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$40,000 to less than $50,000",$40K-$89.9K,$40K+,A few times a week,No,Purple, , , ,2, ,351,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,23905921,Illinois,North Central,4,20211217,.6967,Less than $50K,East North Central,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",ILLINOIS,Suburban,Suburban
00000022,WEB,SSRS Probability Panel,English, , , ,60, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"No, did not receive a booster","No, does not make me more likely",Have recommended this, , ,Not covered by health insurance,Uninsured Less than 65, ,Uninsured <65, , , ,No,Divorced,Employed part-time,Employed,"Yes, self-employed",Man,Male,No,None,Independent/don't lean to either party,Pure Independents,Independent/Don't lean,Moderate,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"Less than $20,000",Less than $40K,Less than $40K,A few times a week,No,Purple, , , ,1, ,477,Android smart phones,Smartphone or equivalent (<7 inch),13928002,California,West,3,20211217,.7618,Less than $50K,Pacific,sex = rgender,Medium metro,"Suburban (CDC=2,3)",CALIFORNIA,Urban,Urban
00000026,WEB,SSRS Probability Panel,English, , , ,51, ,18-64,50-64,45-54,40-59,45-64,50+,No,Black or African-American,"Black, non-Hispanic", ,"Black, non-Hispanic",Very worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Have not recommended this, , ,Covered by health insurance,Insured Less than 65,Medicaid/STATE-SPECIFIC MEDICAID NAME,Medicaid, , , ,No,Never been married,On disability and can't work,On disability and can't work, ,Woman,Female,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,"Less than $20,000",Less than $40K,Less than $40K,Less than once a month,No,Purple, , , ,1, ,632,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,71356169,Texas,South,Lowest,20211218,.3799,Less than $50K,West South Central,sex = rgender,Non-core,Rural (CDC=4-6),REFUSED,Rural,Rural
00000030,WEB,SSRS Probability Panel,English, , , ,37, ,18-64,30-49,35-44,18-39,30-44,18-49,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,Yes,"No, did not receive a booster","No, does not make me more likely",Not sure, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,Yes,Married,Employed full-time,Employed,"No, not self-employed",Woman,Female,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$100,000 or more",$90K+,$40K+,A few times a week,Yes,Purple, , , ,4, ,161,iPhone/iPod,Smartphone or equivalent (<7 inch),90626139,Virginia,South,4,20211219,.8291,$100K+,South Atlantic,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",VIRGINIA,Suburban,Suburban
00000032,WEB,SSRS Probability Panel,English, , , ,62, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,No, , ,Have recommended this,"No, does not make me more likely",Nothing,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,No,Married,Retired,Retired, ,Man,Male,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,Two-year associate degree from a college or university (including associate degree in nursing),Some college,Some college,Less than college,"$75,000 to less than $90,000",$40K-$89.9K,$40K+,Less than once a month,No,Purple, , , ,3, ,319,Android smart phones,Smartphone or equivalent (<7 inch),8055165,South Carolina,South,2,20211217,.4156,$50K-$99.9K,South Atlantic,sex = rgender,Small metro,Rural (CDC=4-6),SOUTH CAROLINA,Suburban,Suburban
00000033,WEB,SSRS Probability Panel,English, , , ,27, ,18-64,18-29,25-34,18-39,18-29,18-49,No,Black or African-American,"Black, non-Hispanic", ,"Black, non-Hispanic",Somewhat worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Not sure, , ,Covered by health insurance,Insured Less than 65,Plan you purchased yourself,Self-purchased plan, ,From healthcare.gov or STATE MARKETPLACE NAME, ,No,Never been married,Employed part-time,Employed,"No, not self-employed",Man,Male,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB, BSN)",College +,College +,College +,"$30,000 to less than $40,000",Less than $40K,Less than $40K,A few times a week,No,Purple, , , ,2, ,164,iPhone/iPod,Smartphone or equivalent (<7 inch),80124824,California,West,2,20211215,.7353,Less than $50K,Pacific,sex = rgender,Medium metro,"Suburban (CDC=2,3)",CALIFORNIA,Urban,Urban
00000034,WEB,SSRS Probability Panel,English, , , ,48, ,18-64,30-49,45-54,40-59,45-64,18-49,No,Black or African-American,"Black, non-Hispanic", ,"Black, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,No,Never been married,Employed full-time,Employed,"No, not self-employed",Man,Male,Yes,Democrat, ,Democrat/Indep lean Dem,Democrat,Moderate,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$100,000 or more",$90K+,$40K+,Less than once a month,No,Purple, , , ,1, ,233,Android smart phones,Smartphone or equivalent (<7 inch),92235203,Illinois,North Central,Highest,20211218,.5759,$100K+,East North Central,sex = rgender,Large central metro,Urban (CDC=1),ILLINOIS,Urban,Urban
00000037,WEB,SSRS Probability Panel,English, , , ,64, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Medicare,Medicare, , , ,No,Married,Retired,Retired, ,Man,Male,No,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Conservative,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Less than high school,High school or less,Less than college,"$50,000 to less than $75,000",$40K-$89.9K,$40K+,Once a month,No,Purple, , , ,2, ,471,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,92648577,Texas,South,Lowest,20211215,1.1819,$50K-$99.9K,West South Central,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",TEXAS,Rural,Suburban
00000038,WEB,SSRS Probability Panel,English, , , ,66, ,65+,65+,65+,60-69,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Plan through your employer, , , , ,No,Married,Retired,Retired, ,Man,Male,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Moderate,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,"$75,000 to less than $90,000",$40K-$89.9K,$40K+,A few times a week,Yes,Purple, , , ,3, ,539,Android smart phones,Smartphone or equivalent (<7 inch),72570195,Tennessee,South,3,20211217,.3496,$50K-$99.9K,East South Central,sex = rgender,Medium metro,"Suburban (CDC=2,3)",TENNESSEE,Suburban,Suburban
00000052,WEB,SSRS Probability Panel,English, , , ,60, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan you purchased yourself,Self-purchased plan, ,From healthcare.gov or STATE MARKETPLACE NAME, ,No,Divorced,Employed full-time,Employed,"Yes, self-employed",Woman,Female,No,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem,Moderate,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB, BSN)",College +,College +,College +,"$30,000 to less than $40,000",Less than $40K,Less than $40K,A few times a month,No,Purple, , , ,1, ,289,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,93862579,Arkansas,South,Lowest,20211219,.8902,Less than $50K,West South Central,sex = rgender,Non-core,Rural (CDC=4-6),REFUSED,Rural,Rural
00000053,WEB,SSRS Probability Panel,English, , , ,55, ,18-64,50-64,55-64,40-59,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"No, did not receive a booster","No, does not make me more likely",Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,Yes,Married,Employed full-time,Employed,"No, not self-employed",Man,Male,No,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$100,000 or more",$90K+,$40K+,A few times a week,Yes,Purple, , , ,2, ,228,Android smart phones,Smartphone or equivalent (<7 inch),93900638,Arizona,West,3,20211215,.2693,$100K+,Mountain,sex = rgender,Large central metro,Urban (CDC=1),ARIZONA,Suburban,Suburban
00000055,WEB,SSRS Probability Panel,English, , , ,27, ,18-64,18-29,25-34,18-39,18-29,18-49,Yes,Other or mixed race (please specify),Hispanic,U.S.,"Hispanic, born in US",Somewhat worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Not sure, , ,Not covered by health insurance,Uninsured Less than 65, ,Uninsured <65, , , ,No,Married,Employed part-time,Employed,"Yes, self-employed",Man,Male,No,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$40,000 to less than $50,000",$40K-$89.9K,$40K+,A few times a week,No,Purple, , , ,2, ,207,iPhone/iPod,Smartphone or equivalent (<7 inch),83984823,North Carolina,South,4,20211215,.3661,Less than $50K,South Atlantic,sex = rgender,Large central metro,Urban (CDC=1),NORTH CAROLINA,Urban,Urban
00000056,WEB,SSRS Probability Panel,English, , , ,71, ,65+,65+,65+,70-74,65+,50+,Yes,Other or mixed race (please specify),Hispanic,U.S.,"Hispanic, born in US",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Married,Retired,Retired, ,Man,Male,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Moderate,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB, BSN)",College +,College +,College +,"$100,000 or more",$90K+,$40K+,"Basically, every day",Yes,Purple, , , ,2, ,210,iPhone/iPod,Smartphone or equivalent (<7 inch),94161374,Tennessee,South,2,20211219,.5019,$100K+,East South Central,sex = rgender,Large fringe metro,"Suburban (CDC=2,3)",TENNESSEE,Suburban,Urban
00000060,WEB,SSRS Probability Panel,English, , , ,67, ,65+,65+,65+,60-69,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance, ,Medicare, , , , ,No,Widowed,Retired,Retired, ,Man,Male,No,Independent,Independent/don't lean to either party,Pure Independents,Independent/Don't lean,Moderate,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,WEB BLANK,Don't know/Refused,Don't know/Refused,Once a month,No,Purple, , , ,1, ,748,Android smart phones,Smartphone or equivalent (<7 inch),12003209,North Carolina,South,3,20211215,.3246,Don't know/Refused,South Atlantic,sex = rgender,Medium metro,"Suburban (CDC=2,3)",NORTH CAROLINA,Urban,Suburban
00000064,WEB,SSRS Probability Panel,English, , , ,74, ,65+,65+,65+,70-74,65+,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Not sure, , ,Covered by health insurance, ,Plan through your employer, , , , ,No,Never been married,Retired,Retired, ,Man,Male,No,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$40,000 to less than $50,000",$40K-$89.9K,$40K+,A few times a week,No,Purple, , , ,1, ,677,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,14029270,Maryland,South,2,20211217,.4044,Less than $50K,South Atlantic,sex = rgender,Medium metro,"Suburban (CDC=2,3)",MARYLAND,Suburban,Urban
00000067,WEB,SSRS Probability Panel,English, , , ,35, ,18-64,30-49,35-44,18-39,30-44,18-49,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not too worried,Yes,"Yes, received a booster", ,Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,No,Never been married,Employed full-time,Employed,"No, not self-employed",Man,Male,Yes,Republican, ,Republican/Indep lean Rep,Republican,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MD, MS, MSN, MA, PhD)",College +,College +,College +,"$90,000 to less than $100,000",$90K+,$40K+,A few times a week,Yes,Purple, , , ,1, ,282,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,14008965,Pennsylvania,Northeast,2,20211218,.3422,$50K-$99.9K,Mid Atlantic,sex = rgender,Micropolitan,Rural (CDC=4-6),PENNSYLVANIA,Suburban,Rural
00000071,WEB,SSRS Probability Panel,English, , , ,59, ,18-64,50-64,55-64,40-59,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Not at all worried,No, , ,Have recommended this,"No, does not make me more likely",Nothing,Covered by health insurance,Insured Less than 65,Plan through your employer,Employer, , , ,No,Married,Employed full-time,Employed,"No, not self-employed",Man,Male,No,Republican, ,Republican/Indep lean Rep,Republican,Conservative,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,"$75,000 to less than $90,000",$40K-$89.9K,$40K+,Once a month,No,Purple, , , ,2, ,348,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,14014621,South Dakota,North Central,2,20211215,3.2947,$50K-$99.9K,West North Central,sex = rgender,Small metro,Rural (CDC=4-6),SOUTH DAKOTA,Urban,Urban
00000072,WEB,SSRS Probability Panel,English, , , ,62, ,18-64,50-64,55-64,60-69,45-64,50+,No,White,"White, non-Hispanic", ,"White, non-Hispanic",Somewhat worried,Yes,"No, did not receive a booster","Yes, makes me more likely to get a booster shot",Have recommended this, , ,Covered by health insurance,Insured Less than 65,Plan through your spouse's employer,Spouse's employer, , , ,No,Married,Employed full-time,Employed,"No, not self-employed",Man,Male,No,Democrat, ,Democrat/Indep lean Dem,Democrat,Liberal,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,"$90,000 to less than $100,000",$90K+,$40K+,Less than once a month,No,Purple, , , ,2, ,255,PC/laptop/Large screen device (e.g. TV etc),PC or equivalent,14022489,Illinois,North Central,Highest,20211215,.8293,$50K-$99.9K,East North Central,sex = rgender,Large central metro,Urban (CDC=1),ILLINOIS,Suburban,Suburban
