age,unit,data
0.3978980154301959,CSICU,GAN
0.7646293975976216,CSICU,GAN
0.442741748793382,CSICU,GAN
0.5499245463033153,Cardiac ICU,GAN
0.3771981603496034,CSICU,GAN
0.681958426004387,Cardiac ICU,GAN
0.6666319338982345,CTICU,GAN
0.6687003801913975,Cardiac ICU,GAN
0.4835470390367741,CTICU,GAN
0.6959815726775506,Cardiac ICU,GAN
0.6728830353298003,Cardiac ICU,GAN
0.36327943217955605,CTICU,GAN
0.6341747839180908,CSICU,GAN
0.6116283014026094,CSICU,GAN
0.20266745276990114,Cardiac ICU,GAN
0.8410108080082397,CSICU,GAN
0.19655571575144842,Cardiac ICU,GAN
0.5853753728375666,CTICU,GAN
0.5350066664658542,Cardiac ICU,GAN
0.5545652061821809,Cardiac ICU,GAN
0.5308674989746386,Cardiac ICU,GAN
0.3873051653740861,Cardiac ICU,GAN
0.39145091010085636,CTICU,GAN
0.5403982046417453,Cardiac ICU,GAN
0.1088223044498107,Cardiac ICU,GAN
0.9178881622570597,CSICU,GAN
0.6911951055899246,CTICU,GAN
0.10251109760300522,Cardiac ICU,GAN
0.8001726475764971,Cardiac ICU,GAN
0.8507433829573591,CSICU,GAN
0.5008872134013368,Cardiac ICU,GAN
0.47975548403107543,CTICU,GAN
0.5322213699119435,Cardiac ICU,GAN
0.0,Cardiac ICU,GAN
0.7476168089844838,Cardiac ICU,GAN
0.6428964760646744,Cardiac ICU,GAN
0.35590044305271784,Cardiac ICU,GAN
0.41345563270873054,Cardiac ICU,GAN
0.5318217038769593,CSICU,GAN
0.6838498156562378,Cardiac ICU,GAN
0.21687676508918532,CSICU,GAN
0.5401272898846389,Cardiac ICU,GAN
0.6330272234617214,CSICU,GAN
0.4273807697481409,Cardiac ICU,GAN
0.4333780430543877,Cardiac ICU,GAN
0.3780545482338529,CTICU,GAN
0.8883423550126837,CSICU,GAN
0.567541113342741,Cardiac ICU,GAN
0.17722304786667964,Cardiac ICU,GAN
0.6459178852853654,CSICU,GAN
0.5796873980842709,CTICU,GAN
0.7845687643168409,Cardiac ICU,GAN
0.553972333878624,Cardiac ICU,GAN
0.6242645771861025,CSICU,GAN
0.6204590607728657,Cardiac ICU,GAN
0.6331889901939274,Cardiac ICU,GAN
0.7810886691972008,Cardiac ICU,GAN
0.6942039252592822,CSICU,GAN
0.6086690331304838,CTICU,GAN
0.7463285180497937,CSICU,GAN
0.44228782161139135,CTICU,GAN
0.6038470533517836,Cardiac ICU,GAN
0.612683364237111,Cardiac ICU,GAN
0.5867997549159772,Cardiac ICU,GAN
0.459620820622109,CTICU,GAN
0.6230215983064424,CTICU,GAN
0.46142932208766096,CSICU,GAN
0.49136378899735705,CSICU,GAN
0.3866614516959771,CTICU,GAN
0.5352747019200836,Cardiac ICU,GAN
0.4396267069770197,CSICU,GAN
0.6340840809789454,CSICU,GAN
0.7261580070295924,CSICU,GAN
0.3822336198705798,Cardiac ICU,GAN
0.13381329051576007,Cardiac ICU,GAN
0.8572566545117184,CSICU,GAN
0.0831956812792698,Cardiac ICU,GAN
0.5728376582528254,CSICU,GAN
0.696175094525548,CTICU,GAN
0.6496716559914123,CTICU,GAN
0.657569639693542,CSICU,GAN
0.5185988000759363,CTICU,GAN
0.9077941120658846,Cardiac ICU,GAN
0.7842843065899354,Cardiac ICU,GAN
0.718344310304391,Cardiac ICU,GAN
0.9479933389175605,Cardiac ICU,GAN
0.593923536874106,Cardiac ICU,GAN
0.6876839295826209,CSICU,GAN
0.46966979200211634,CSICU,GAN
0.7483172499325065,Cardiac ICU,GAN
0.5935794917204477,CSICU,GAN
0.642241645451125,Cardiac ICU,GAN
0.784437872455163,Cardiac ICU,GAN
0.729409504497042,CSICU,GAN
0.5377527890216903,Cardiac ICU,GAN
0.6745063464826287,Cardiac ICU,GAN
0.6052055621935155,CTICU,GAN
0.5014445990157664,CTICU,GAN
0.3139114335270139,CTICU,GAN
0.4112190024759965,Cardiac ICU,GAN
0.4224089046774788,CTICU,GAN
0.8138315247920036,Cardiac ICU,GAN
0.39077397055876995,CTICU,GAN
0.5455562772392503,CTICU,GAN
0.45785047365424764,Cardiac ICU,GAN
0.7498450695462188,Cardiac ICU,GAN
0.532963967777529,CTICU,GAN
0.5028321609855472,CSICU,GAN
0.5726807875970537,CSICU,GAN
0.4965278549739655,CSICU,GAN
0.5269347614649943,Cardiac ICU,GAN
0.7066220357113934,Cardiac ICU,GAN
0.6329531957918891,Cardiac ICU,GAN
0.548612058738986,CSICU,GAN
0.7037803080575066,Cardiac ICU,GAN
0.6250289648158293,Cardiac ICU,GAN
0.5383729829136883,CSICU,GAN
0.8402371184467792,CSICU,GAN
0.7616127912596019,CSICU,GAN
0.5827425749012474,CSICU,GAN
0.6840858108817022,CSICU,GAN
0.45308701089403186,CSICU,GAN
0.835345357559359,CTICU,GAN
0.5729936917049385,Cardiac ICU,GAN
0.5657748506712872,Cardiac ICU,GAN
0.6598509314896619,CSICU,GAN
0.5600123320773078,CSICU,GAN
0.791428679610743,CSICU,GAN
0.6720128535745659,CSICU,GAN
0.6197895728992251,CTICU,GAN
0.08765736355933365,Cardiac ICU,GAN
0.742003415083877,CSICU,GAN
0.7130451583222657,Cardiac ICU,GAN
0.7094734167396249,CSICU,GAN
0.5784407986150154,Cardiac ICU,GAN
0.5516724052003316,CTICU,GAN
0.6314376821039337,CTICU,GAN
0.4435073479824863,Cardiac ICU,GAN
0.7637216223137719,CSICU,GAN
0.505686468407024,CSICU,GAN
0.331503063602775,CTICU,GAN
0.5698728338168368,Cardiac ICU,GAN
0.5595830192986672,Cardiac ICU,GAN
0.6666232656308588,CTICU,GAN
0.5553181013999477,Cardiac ICU,GAN
0.6233009706982158,Cardiac ICU,GAN
0.893687665220559,Cardiac ICU,GAN
0.8266220172756922,Cardiac ICU,GAN
0.5763630197832841,CTICU,GAN
0.6333355358954234,CSICU,GAN
0.4670059454513976,CTICU,GAN
0.7089363144864885,CTICU,GAN
0.756642612719567,Cardiac ICU,GAN
0.8549133221268215,Cardiac ICU,GAN
0.8507335149096966,CTICU,GAN
0.6216102870382354,Cardiac ICU,GAN
0.6579246885859622,Cardiac ICU,GAN
0.46181104086441377,CSICU,GAN
0.8534939991003025,CSICU,GAN
0.6215301792660539,CSICU,GAN
0.5174889719591357,Cardiac ICU,GAN
0.6219112174797913,Cardiac ICU,GAN
0.9253822277247667,CSICU,GAN
0.4967125247795048,Cardiac ICU,GAN
0.46030781883034816,Cardiac ICU,GAN
0.39473889905885007,CSICU,GAN
0.7329848609013527,Cardiac ICU,GAN
0.675612107966584,CSICU,GAN
0.4587667627420601,Cardiac ICU,GAN
0.513344470877158,CTICU,GAN
